"region","type registrering","drivstofftype","år","statistikkvariabel","12906: Førstegangsregistrerte kjøretøy,"
"0 Hele landet","Nye kjøretøy","Gass","2019","Lette motorsykler",0
"0 Hele landet","Nye kjøretøy","Gass","2019","Tunge motorsykler",0
"0 Hele landet","Nye kjøretøy","Gass","2019","Beltemotorsykler",0
"0 Hele landet","Nye kjøretøy","Gass","2019","Traktorer",0
"0 Hele landet","Nye kjøretøy","Gass","2019","Motorredskaper",0
"0 Hele landet","Nye kjøretøy","Gass","2020","Personbiler",5
"0 Hele landet","Nye kjøretøy","Gass","2020","Ambulanser",0
"0 Hele landet","Nye kjøretøy","Gass","2020","Bobiler",0
"0 Hele landet","Nye kjøretøy","Gass","2020","Busser",135
"0 Hele landet","Nye kjøretøy","Gass","2020","Varebiler",19
"0 Hele landet","Nye kjøretøy","Gass","2020","Kombinerte biler",0
"0 Hele landet","Nye kjøretøy","Gass","2020","Lastebiler",85
"0 Hele landet","Nye kjøretøy","Gass","2020","Mopeder",0
"0 Hele landet","Nye kjøretøy","Gass","2020","Lette motorsykler",0
"0 Hele landet","Nye kjøretøy","Gass","2020","Tunge motorsykler",0
"0 Hele landet","Nye kjøretøy","Gass","2020","Beltemotorsykler",0
"0 Hele landet","Nye kjøretøy","Gass","2020","Traktorer",0
"0 Hele landet","Nye kjøretøy","Gass","2020","Motorredskaper",0
"0 Hele landet","Nye kjøretøy","El.","2019","Personbiler",60246
"0 Hele landet","Nye kjøretøy","El.","2019","Ambulanser",0
"0 Hele landet","Nye kjøretøy","El.","2019","Bobiler",0
"0 Hele landet","Nye kjøretøy","El.","2019","Busser",158
"0 Hele landet","Nye kjøretøy","El.","2019","Varebiler",2011
"0 Hele landet","Nye kjøretøy","El.","2019","Kombinerte biler",0
"0 Hele landet","Nye kjøretøy","El.","2019","Lastebiler",1
"0 Hele landet","Nye kjøretøy","El.","2019","Mopeder",623
"0 Hele landet","Nye kjøretøy","El.","2019","Lette motorsykler",19
"0 Hele landet","Nye kjøretøy","El.","2019","Tunge motorsykler",264
"0 Hele landet","Nye kjøretøy","El.","2019","Beltemotorsykler",8
"0 Hele landet","Nye kjøretøy","El.","2019","Traktorer",12
"0 Hele landet","Nye kjøretøy","El.","2019","Motorredskaper",0
"0 Hele landet","Nye kjøretøy","El.","2020","Personbiler",76791
"0 Hele landet","Nye kjøretøy","El.","2020","Ambulanser",0
"0 Hele landet","Nye kjøretøy","El.","2020","Bobiler",0
"0 Hele landet","Nye kjøretøy","El.","2020","Busser",250
"0 Hele landet","Nye kjøretøy","El.","2020","Varebiler",2560
"0 Hele landet","Nye kjøretøy","El.","2020","Kombinerte biler",0
"0 Hele landet","Nye kjøretøy","El.","2020","Lastebiler",14
"0 Hele landet","Nye kjøretøy","El.","2020","Mopeder",938
"0 Hele landet","Nye kjøretøy","El.","2020","Lette motorsykler",41
"0 Hele landet","Nye kjøretøy","El.","2020","Tunge motorsykler",125
"0 Hele landet","Nye kjøretøy","El.","2020","Beltemotorsykler",0
"0 Hele landet","Nye kjøretøy","El.","2020","Traktorer",11
"0 Hele landet","Nye kjøretøy","El.","2020","Motorredskaper",0
"0 Hele landet","Nye kjøretøy","Hydrogen","2019","Personbiler",28
"0 Hele landet","Nye kjøretøy","Hydrogen","2019","Ambulanser",0
"0 Hele landet","Nye kjøretøy","Hydrogen","2019","Bobiler",0
"0 Hele landet","Nye kjøretøy","Hydrogen","2019","Busser",0
"0 Hele landet","Nye kjøretøy","Hydrogen","2019","Varebiler",0
"0 Hele landet","Nye kjøretøy","Hydrogen","2019","Kombinerte biler",0
"0 Hele landet","Nye kjøretøy","Hydrogen","2019","Lastebiler",1
"0 Hele landet","Nye kjøretøy","Hydrogen","2019","Mopeder",0
"0 Hele landet","Nye kjøretøy","Hydrogen","2019","Lette motorsykler",0
"0 Hele landet","Nye kjøretøy","Hydrogen","2019","Tunge motorsykler",0
"0 Hele landet","Nye kjøretøy","Hydrogen","2019","Beltemotorsykler",0
"0 Hele landet","Nye kjøretøy","Hydrogen","2019","Traktorer",0
"0 Hele landet","Nye kjøretøy","Hydrogen","2019","Motorredskaper",0
"0 Hele landet","Nye kjøretøy","Hydrogen","2020","Personbiler",15
"0 Hele landet","Nye kjøretøy","Hydrogen","2020","Ambulanser",0
"0 Hele landet","Nye kjøretøy","Hydrogen","2020","Bobiler",0
"0 Hele landet","Nye kjøretøy","Hydrogen","2020","Busser",0
"0 Hele landet","Nye kjøretøy","Hydrogen","2020","Varebiler",0
"0 Hele landet","Nye kjøretøy","Hydrogen","2020","Kombinerte biler",0
"0 Hele landet","Nye kjøretøy","Hydrogen","2020","Lastebiler",3
"0 Hele landet","Nye kjøretøy","Hydrogen","2020","Mopeder",0
"0 Hele landet","Nye kjøretøy","Hydrogen","2020","Lette motorsykler",0
"0 Hele landet","Nye kjøretøy","Hydrogen","2020","Tunge motorsykler",0
"0 Hele landet","Nye kjøretøy","Hydrogen","2020","Beltemotorsykler",0
"0 Hele landet","Nye kjøretøy","Hydrogen","2020","Traktorer",0
"0 Hele landet","Nye kjøretøy","Hydrogen","2020","Motorredskaper",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ladbar","2019","Personbiler",18768
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ladbar","2019","Ambulanser",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ladbar","2019","Bobiler",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ladbar","2019","Busser",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ladbar","2019","Varebiler",5
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ladbar","2019","Kombinerte biler",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ladbar","2019","Lastebiler",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ladbar","2019","Mopeder",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ladbar","2019","Lette motorsykler",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ladbar","2019","Tunge motorsykler",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ladbar","2019","Beltemotorsykler",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ladbar","2019","Traktorer",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ladbar","2019","Motorredskaper",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ladbar","2020","Personbiler",27497
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ladbar","2020","Ambulanser",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ladbar","2020","Bobiler",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ladbar","2020","Busser",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ladbar","2020","Varebiler",32
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ladbar","2020","Kombinerte biler",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ladbar","2020","Lastebiler",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ladbar","2020","Mopeder",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ladbar","2020","Lette motorsykler",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ladbar","2020","Tunge motorsykler",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ladbar","2020","Beltemotorsykler",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ladbar","2020","Traktorer",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ladbar","2020","Motorredskaper",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ikke ladbar","2019","Personbiler",18697
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ikke ladbar","2019","Ambulanser",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ikke ladbar","2019","Bobiler",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ikke ladbar","2019","Busser",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ikke ladbar","2019","Varebiler",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ikke ladbar","2019","Kombinerte biler",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ikke ladbar","2019","Lastebiler",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ikke ladbar","2019","Mopeder",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ikke ladbar","2019","Lette motorsykler",0
"0 Hele landet","Nye kjøretøy","Bensin hybrid, ikke ladbar","2019","Tunge motorsykler",0
