region;type registrering;drivstofftype;år;biltyper;antall;dato
Norge;Nye kjøretøy;Gass;2019;Varebiler;26;01.01.2019
Norge;Nye kjøretøy;Gass;2019;Kombinerte biler;0;01.01.2019
Norge;Nye kjøretøy;Gass;2019;Lastebiler;133;01.01.2019
Norge;Nye kjøretøy;Gass;2019;Mopeder;0;01.01.2019
Norge;Nye kjøretøy;Gass;2019;Lette motorsykler;0;01.01.2019
Norge;Nye kjøretøy;Gass;2019;Tunge motorsykler;0;01.01.2019
Norge;Nye kjøretøy;Gass;2019;Beltemotorsykler;0;01.01.2019
Norge;Nye kjøretøy;Gass;2019;Traktorer;0;01.01.2019
Norge;Nye kjøretøy;Gass;2019;Motorredskaper;0;01.01.2019
Norge;Nye kjøretøy;Gass;2020;Personbiler;5;01.01.2020
Norge;Nye kjøretøy;Gass;2020;Ambulanser;0;01.01.2020
Norge;Nye kjøretøy;Gass;2020;Bobiler;0;01.01.2020
Norge;Nye kjøretøy;Gass;2020;Busser;135;01.01.2020
Norge;Nye kjøretøy;Gass;2020;Varebiler;19;01.01.2020
Norge;Nye kjøretøy;Gass;2020;Kombinerte biler;0;01.01.2020
Norge;Nye kjøretøy;Gass;2020;Lastebiler;85;01.01.2020
Norge;Nye kjøretøy;Gass;2020;Mopeder;0;01.01.2020
Norge;Nye kjøretøy;Gass;2020;Lette motorsykler;0;01.01.2020
Norge;Nye kjøretøy;Gass;2020;Tunge motorsykler;0;01.01.2020
Norge;Nye kjøretøy;Gass;2020;Beltemotorsykler;0;01.01.2020
Norge;Nye kjøretøy;Gass;2020;Traktorer;0;01.01.2020
Norge;Nye kjøretøy;Gass;2020;Motorredskaper;0;01.01.2020
Norge;Nye kjøretøy;El.;2019;Personbiler;60246;01.01.2019
Norge;Nye kjøretøy;El.;2019;Ambulanser;0;01.01.2019
Norge;Nye kjøretøy;El.;2019;Bobiler;0;01.01.2019
Norge;Nye kjøretøy;El.;2019;Busser;158;01.01.2019
Norge;Nye kjøretøy;El.;2019;Varebiler;2011;01.01.2019
Norge;Nye kjøretøy;El.;2019;Kombinerte biler;0;01.01.2019
Norge;Nye kjøretøy;El.;2019;Lastebiler;1;01.01.2019
Norge;Nye kjøretøy;El.;2019;Mopeder;623;01.01.2019
Norge;Nye kjøretøy;El.;2019;Lette motorsykler;19;01.01.2019
Norge;Nye kjøretøy;El.;2019;Tunge motorsykler;264;01.01.2019
Norge;Nye kjøretøy;El.;2019;Beltemotorsykler;8;01.01.2019
Norge;Nye kjøretøy;El.;2019;Traktorer;12;01.01.2019
Norge;Nye kjøretøy;El.;2019;Motorredskaper;0;01.01.2019
Norge;Nye kjøretøy;El.;2020;Personbiler;76791;01.01.2020
Norge;Nye kjøretøy;El.;2020;Ambulanser;0;01.01.2020
Norge;Nye kjøretøy;El.;2020;Bobiler;0;01.01.2020
Norge;Nye kjøretøy;El.;2020;Busser;250;01.01.2020
Norge;Nye kjøretøy;El.;2020;Varebiler;2560;01.01.2020
Norge;Nye kjøretøy;El.;2020;Kombinerte biler;0;01.01.2020
Norge;Nye kjøretøy;El.;2020;Lastebiler;14;01.01.2020
Norge;Nye kjøretøy;El.;2020;Mopeder;938;01.01.2020
Norge;Nye kjøretøy;El.;2020;Lette motorsykler;41;01.01.2020
Norge;Nye kjøretøy;El.;2020;Tunge motorsykler;125;01.01.2020
Norge;Nye kjøretøy;El.;2020;Beltemotorsykler;0;01.01.2020
Norge;Nye kjøretøy;El.;2020;Traktorer;11;01.01.2020
Norge;Nye kjøretøy;El.;2020;Motorredskaper;0;01.01.2020
Norge;Nye kjøretøy;Hydrogen;2019;Personbiler;28;01.01.2019
Norge;Nye kjøretøy;Hydrogen;2019;Ambulanser;0;01.01.2019
Norge;Nye kjøretøy;Hydrogen;2019;Bobiler;0;01.01.2019
Norge;Nye kjøretøy;Hydrogen;2019;Busser;0;01.01.2019
Norge;Nye kjøretøy;Hydrogen;2019;Varebiler;0;01.01.2019
Norge;Nye kjøretøy;Hydrogen;2019;Kombinerte biler;0;01.01.2019
Norge;Nye kjøretøy;Hydrogen;2019;Lastebiler;1;01.01.2019
Norge;Nye kjøretøy;Hydrogen;2019;Mopeder;0;01.01.2019
Norge;Nye kjøretøy;Hydrogen;2019;Lette motorsykler;0;01.01.2019
Norge;Nye kjøretøy;Hydrogen;2019;Tunge motorsykler;0;01.01.2019
Norge;Nye kjøretøy;Hydrogen;2019;Beltemotorsykler;0;01.01.2019
Norge;Nye kjøretøy;Hydrogen;2019;Traktorer;0;01.01.2019
Norge;Nye kjøretøy;Hydrogen;2019;Motorredskaper;0;01.01.2019
Norge;Nye kjøretøy;Hydrogen;2020;Personbiler;15;01.01.2020
Norge;Nye kjøretøy;Hydrogen;2020;Ambulanser;0;01.01.2020
Norge;Nye kjøretøy;Hydrogen;2020;Bobiler;0;01.01.2020
Norge;Nye kjøretøy;Hydrogen;2020;Busser;0;01.01.2020
Norge;Nye kjøretøy;Hydrogen;2020;Varebiler;0;01.01.2020
Norge;Nye kjøretøy;Hydrogen;2020;Kombinerte biler;0;01.01.2020
Norge;Nye kjøretøy;Hydrogen;2020;Lastebiler;3;01.01.2020
Norge;Nye kjøretøy;Hydrogen;2020;Mopeder;0;01.01.2020
Norge;Nye kjøretøy;Hydrogen;2020;Lette motorsykler;0;01.01.2020
Norge;Nye kjøretøy;Hydrogen;2020;Tunge motorsykler;0;01.01.2020
Norge;Nye kjøretøy;Hydrogen;2020;Beltemotorsykler;0;01.01.2020
Norge;Nye kjøretøy;Hydrogen;2020;Traktorer;0;01.01.2020
Norge;Nye kjøretøy;Hydrogen;2020;Motorredskaper;0;01.01.2020
Norge;Nye kjøretøy;Bensin hybrid, ladbar;2019;Personbiler;18768;01.01.2019
Norge;Nye kjøretøy;Bensin hybrid, ladbar;2019;Ambulanser;0;01.01.2019
Norge;Nye kjøretøy;Bensin hybrid, ladbar;2019;Bobiler;0;01.01.2019
Norge;Nye kjøretøy;Bensin hybrid, ladbar;2019;Busser;0;01.01.2019
Norge;Nye kjøretøy;Bensin hybrid, ladbar;2019;Varebiler;5;01.01.2019
Norge;Nye kjøretøy;Bensin hybrid, ladbar;2019;Kombinerte biler;0;01.01.2019
Norge;Nye kjøretøy;Bensin hybrid, ladbar;2019;Lastebiler;0;01.01.2019
Norge;Nye kjøretøy;Bensin hybrid, ladbar;2019;Mopeder;0;01.01.2019
Norge;Nye kjøretøy;Bensin hybrid, ladbar;2019;Lette motorsykler;0;01.01.2019
Norge;Nye kjøretøy;Bensin hybrid, ladbar;2019;Tunge motorsykler;0;01.01.2019
Norge;Nye kjøretøy;Bensin hybrid, ladbar;2019;Beltemotorsykler;0;01.01.2019
Norge;Nye kjøretøy;Bensin hybrid, ladbar;2019;Traktorer;0;01.01.2019
Norge;Nye kjøretøy;Bensin hybrid, ladbar;2019;Motorredskaper;0;01.01.2019
Norge;Nye kjøretøy;Bensin hybrid, ladbar;2020;Personbiler;27497;01.01.2020
Norge;Nye kjøretøy;Bensin hybrid, ladbar;2020;Ambulanser;0;01.01.2020
Norge;Nye kjøretøy;Bensin hybrid, ladbar;2020;Bobiler;0;01.01.2020
Norge;Nye kjøretøy;Bensin hybrid, ladbar;2020;Busser;0;01.01.2020
Norge;Nye kjøretøy;Bensin hybrid, ladbar;2020;Varebiler;32;01.01.2020
Norge;Nye kjøretøy;Bensin hybrid, ladbar;2020;Kombinerte biler;0;01.01.2020
Norge;Nye kjøretøy;Bensin hybrid, ladbar;2020;Lastebiler;0;01.01.2020
Norge;Nye kjøretøy;Bensin hybrid, ladbar;2020;Mopeder;0;01.01.2020
Norge;Nye kjøretøy;Bensin hybrid, ladbar;2020;Lette motorsykler;0;01.01.2020
Norge;Nye kjøretøy;Bensin hybrid, ladbar;2020;Tunge motorsykler;0;01.01.2020
Norge;Nye kjøretøy;Bensin hybrid, ladbar;2020;Beltemotorsykler;0;01.01.2020
Norge;Nye kjøretøy;Bensin hybrid, ladbar;2020;Traktorer;0;01.01.2020
Norge;Nye kjøretøy;Bensin hybrid, ladbar;2020;Motorredskaper;0;01.01.2020
Norge;Nye kjøretøy;Bensin hybrid, ikke ladbar;2019;Personbiler;18697;01.01.2019
Norge;Nye kjøretøy;Bensin hybrid, ikke ladbar;2019;Ambulanser;0;01.01.2019
Norge;Nye kjøretøy;Bensin hybrid, ikke ladbar;2019;Bobiler;0;01.01.2019
Norge;Nye kjøretøy;Bensin hybrid, ikke ladbar;2019;Busser;0;01.01.2019
Norge;Nye kjøretøy;Bensin hybrid, ikke ladbar;2019;Varebiler;0;01.01.2019
Norge;Nye kjøretøy;Bensin hybrid, ikke ladbar;2019;Kombinerte biler;0;01.01.2019
Norge;Nye kjøretøy;Bensin hybrid, ikke ladbar;2019;Lastebiler;0;01.01.2019
Norge;Nye kjøretøy;Bensin hybrid, ikke ladbar;2019;Mopeder;0;01.01.2019
Norge;Nye kjøretøy;Bensin hybrid, ikke ladbar;2019;Lette motorsykler;0;01.01.2019
Norge;Nye kjøretøy;Bensin hybrid, ikke ladbar;2019;Tunge motorsykler;0;01.01.2019
Norge;Nye kjøretøy;Bensin hybrid, ikke ladbar;2019;Beltemotorsykler;0;01.01.2019
Norge;Nye kjøretøy;Bensin hybrid, ikke ladbar;2019;Traktorer;0;01.01.2019
Norge;Nye kjøretøy;Bensin hybrid, ikke ladbar;2019;Motorredskaper;0;01.01.2019
Norge;Nye kjøretøy;Bensin hybrid, ikke ladbar;2020;Personbiler;15156;01.01.2020
Norge;Nye kjøretøy;Bensin hybrid, ikke ladbar;2020;Ambulanser;0;01.01.2020
Norge;Nye kjøretøy;Bensin hybrid, ikke ladbar;2020;Bobiler;0;01.01.2020
Norge;Nye kjøretøy;Bensin hybrid, ikke ladbar;2020;Busser;0;01.01.2020
Norge;Nye kjøretøy;Bensin hybrid, ikke ladbar;2020;Varebiler;9;01.01.2020
Norge;Nye kjøretøy;Bensin hybrid, ikke ladbar;2020;Kombinerte biler;0;01.01.2020
Norge;Nye kjøretøy;Bensin hybrid, ikke ladbar;2020;Lastebiler;0;01.01.2020
Norge;Nye kjøretøy;Bensin hybrid, ikke ladbar;2020;Mopeder;0;01.01.2020
Norge;Nye kjøretøy;Bensin hybrid, ikke ladbar;2020;Lette motorsykler;0;01.01.2020
Norge;Nye kjøretøy;Bensin hybrid, ikke ladbar;2020;Tunge motorsykler;0;01.01.2020
Norge;Nye kjøretøy;Bensin hybrid, ikke ladbar;2020;Beltemotorsykler;0;01.01.2020
Norge;Nye kjøretøy;Bensin hybrid, ikke ladbar;2020;Traktorer;0;01.01.2020
Norge;Nye kjøretøy;Bensin hybrid, ikke ladbar;2020;Motorredskaper;0;01.01.2020
Norge;Nye kjøretøy;Diesel hybrid, ladbar;2019;Personbiler;531;01.01.2019
Norge;Nye kjøretøy;Diesel hybrid, ladbar;2019;Ambulanser;0;01.01.2019
Norge;Nye kjøretøy;Diesel hybrid, ladbar;2019;Bobiler;0;01.01.2019
Norge;Nye kjøretøy;Diesel hybrid, ladbar;2019;Busser;63;01.01.2019
Norge;Nye kjøretøy;Diesel hybrid, ladbar;2019;Varebiler;0;01.01.2019
Norge;Nye kjøretøy;Diesel hybrid, ladbar;2019;Kombinerte biler;0;01.01.2019
Norge;Nye kjøretøy;Diesel hybrid, ladbar;2019;Lastebiler;0;01.01.2019
Norge;Nye kjøretøy;Diesel hybrid, ladbar;2019;Mopeder;0;01.01.2019
Norge;Nye kjøretøy;Diesel hybrid, ladbar;2019;Lette motorsykler;0;01.01.2019
Norge;Nye kjøretøy;Diesel hybrid, ladbar;2019;Tunge motorsykler;0;01.01.2019
Norge;Nye kjøretøy;Diesel hybrid, ladbar;2019;Beltemotorsykler;0;01.01.2019
Norge;Nye kjøretøy;Diesel hybrid, ladbar;2019;Traktorer;0;01.01.2019
Norge;Nye kjøretøy;Diesel hybrid, ladbar;2019;Motorredskaper;0;01.01.2019
Norge;Nye kjøretøy;Diesel hybrid, ladbar;2020;Personbiler;1412;01.01.2020
Norge;Nye kjøretøy;Diesel hybrid, ladbar;2020;Ambulanser;0;01.01.2020
Norge;Nye kjøretøy;Diesel hybrid, ladbar;2020;Bobiler;0;01.01.2020
