region,type kjøring,drivstofftype,år,statistikkvariabel,"07849: Registrerte kjøretøy,"
0 Hele landet,Egentransport,Bensin,2015,Ambulanser,40
0 Hele landet,Egentransport,Bensin,2015,Busser,336
0 Hele landet,Egentransport,Bensin,2015,Varebiler,31352
0 Hele landet,Egentransport,Bensin,2015,Kombinerte biler,3460
0 Hele landet,Egentransport,Bensin,2015,Lastebiler,4254
0 Hele landet,Egentransport,Bensin,2015,Mopeder,175160
0 Hele landet,Egentransport,Bensin,2015,Lette motorsykler,23266
0 Hele landet,Egentransport,Bensin,2015,Tunge motorsykler,150496
0 Hele landet,Egentransport,Bensin,2015,Beltemotorsykler,81937
0 Hele landet,Egentransport,Bensin,2015,Traktorer,36317
0 Hele landet,Egentransport,Bensin,2015,Motorredskaper,2364
0 Hele landet,Egentransport,Bensin,2016,Personbiler,1181656
0 Hele landet,Egentransport,Bensin,2016,Ambulanser,37
0 Hele landet,Egentransport,Bensin,2016,Busser,296
0 Hele landet,Egentransport,Bensin,2016,Varebiler,28832
0 Hele landet,Egentransport,Bensin,2016,Kombinerte biler,2820
0 Hele landet,Egentransport,Bensin,2016,Lastebiler,3400
0 Hele landet,Egentransport,Bensin,2016,Mopeder,175249
0 Hele landet,Egentransport,Bensin,2016,Lette motorsykler,24548
0 Hele landet,Egentransport,Bensin,2016,Tunge motorsykler,157264
0 Hele landet,Egentransport,Bensin,2016,Beltemotorsykler,85612
0 Hele landet,Egentransport,Bensin,2016,Traktorer,41230
0 Hele landet,Egentransport,Bensin,2016,Motorredskaper,2309
0 Hele landet,Egentransport,Bensin,2017,Personbiler,1125983
0 Hele landet,Egentransport,Bensin,2017,Ambulanser,32
0 Hele landet,Egentransport,Bensin,2017,Busser,240
0 Hele landet,Egentransport,Bensin,2017,Varebiler,26028
0 Hele landet,Egentransport,Bensin,2017,Kombinerte biler,2289
0 Hele landet,Egentransport,Bensin,2017,Lastebiler,3018
0 Hele landet,Egentransport,Bensin,2017,Mopeder,168757
0 Hele landet,Egentransport,Bensin,2017,Lette motorsykler,25667
0 Hele landet,Egentransport,Bensin,2017,Tunge motorsykler,162051
0 Hele landet,Egentransport,Bensin,2017,Beltemotorsykler,87806
0 Hele landet,Egentransport,Bensin,2017,Traktorer,46750
0 Hele landet,Egentransport,Bensin,2017,Motorredskaper,2267
0 Hele landet,Egentransport,Bensin,2018,Personbiler,1060783
0 Hele landet,Egentransport,Bensin,2018,Ambulanser,32
0 Hele landet,Egentransport,Bensin,2018,Busser,215
0 Hele landet,Egentransport,Bensin,2018,Varebiler,23910
0 Hele landet,Egentransport,Bensin,2018,Kombinerte biler,1964
0 Hele landet,Egentransport,Bensin,2018,Lastebiler,2671
0 Hele landet,Egentransport,Bensin,2018,Mopeder,160198
0 Hele landet,Egentransport,Bensin,2018,Lette motorsykler,26471
0 Hele landet,Egentransport,Bensin,2018,Tunge motorsykler,163786
0 Hele landet,Egentransport,Bensin,2018,Beltemotorsykler,89099
0 Hele landet,Egentransport,Bensin,2018,Traktorer,51851
0 Hele landet,Egentransport,Bensin,2018,Motorredskaper,2160
0 Hele landet,Egentransport,Bensin,2019,Personbiler,1017569
0 Hele landet,Egentransport,Bensin,2019,Ambulanser,32
0 Hele landet,Egentransport,Bensin,2019,Busser,196
0 Hele landet,Egentransport,Bensin,2019,Varebiler,22711
0 Hele landet,Egentransport,Bensin,2019,Kombinerte biler,1735
0 Hele landet,Egentransport,Bensin,2019,Lastebiler,2449
0 Hele landet,Egentransport,Bensin,2019,Mopeder,155388
0 Hele landet,Egentransport,Bensin,2019,Lette motorsykler,27918
0 Hele landet,Egentransport,Bensin,2019,Tunge motorsykler,168101
0 Hele landet,Egentransport,Bensin,2019,Beltemotorsykler,85858
0 Hele landet,Egentransport,Bensin,2019,Traktorer,57946
0 Hele landet,Egentransport,Bensin,2019,Motorredskaper,2099
0 Hele landet,Egentransport,Bensin,2020,Personbiler,938899
0 Hele landet,Egentransport,Bensin,2020,Ambulanser,34
0 Hele landet,Egentransport,Bensin,2020,Busser,175
0 Hele landet,Egentransport,Bensin,2020,Varebiler,20783
0 Hele landet,Egentransport,Bensin,2020,Kombinerte biler,1523
0 Hele landet,Egentransport,Bensin,2020,Lastebiler,2303
0 Hele landet,Egentransport,Bensin,2020,Mopeder,151342
0 Hele landet,Egentransport,Bensin,2020,Lette motorsykler,29816
0 Hele landet,Egentransport,Bensin,2020,Tunge motorsykler,175292
0 Hele landet,Egentransport,Bensin,2020,Beltemotorsykler,93350
0 Hele landet,Egentransport,Bensin,2020,Traktorer,65363
0 Hele landet,Egentransport,Bensin,2020,Motorredskaper,2071
0 Hele landet,Egentransport,Diesel,2008,Personbiler,571644
0 Hele landet,Egentransport,Diesel,2008,Ambulanser,272
0 Hele landet,Egentransport,Diesel,2008,Busser,12358
0 Hele landet,Egentransport,Diesel,2008,Varebiler,287450
0 Hele landet,Egentransport,Diesel,2008,Kombinerte biler,47303
0 Hele landet,Egentransport,Diesel,2008,Lastebiler,50912
0 Hele landet,Egentransport,Diesel,2008,Mopeder,1764
0 Hele landet,Egentransport,Diesel,2008,Lette motorsykler,1
0 Hele landet,Egentransport,Diesel,2008,Tunge motorsykler,19
0 Hele landet,Egentransport,Diesel,2008,Beltemotorsykler,1
0 Hele landet,Egentransport,Diesel,2008,Traktorer,218429
0 Hele landet,Egentransport,Diesel,2008,Motorredskaper,5191
0 Hele landet,Egentransport,Diesel,2009,Personbiler,663258
0 Hele landet,Egentransport,Diesel,2009,Ambulanser,250
0 Hele landet,Egentransport,Diesel,2009,Busser,10921
0 Hele landet,Egentransport,Diesel,2009,Varebiler,301808
0 Hele landet,Egentransport,Diesel,2009,Kombinerte biler,43341
0 Hele landet,Egentransport,Diesel,2009,Lastebiler,50906
0 Hele landet,Egentransport,Diesel,2009,Mopeder,1774
0 Hele landet,Egentransport,Diesel,2009,Lette motorsykler,1
0 Hele landet,Egentransport,Diesel,2009,Tunge motorsykler,22
0 Hele landet,Egentransport,Diesel,2009,Beltemotorsykler,1
0 Hele landet,Egentransport,Diesel,2009,Traktorer,219081
0 Hele landet,Egentransport,Diesel,2009,Motorredskaper,5149
0 Hele landet,Egentransport,Diesel,2010,Personbiler,775073
0 Hele landet,Egentransport,Diesel,2010,Ambulanser,209
0 Hele landet,Egentransport,Diesel,2010,Busser,9692
0 Hele landet,Egentransport,Diesel,2010,Varebiler,318397
0 Hele landet,Egentransport,Diesel,2010,Kombinerte biler,39594
0 Hele landet,Egentransport,Diesel,2010,Lastebiler,51001
0 Hele landet,Egentransport,Diesel,2010,Mopeder,1802
0 Hele landet,Egentransport,Diesel,2010,Lette motorsykler,1
0 Hele landet,Egentransport,Diesel,2010,Tunge motorsykler,25
0 Hele landet,Egentransport,Diesel,2010,Beltemotorsykler,1
0 Hele landet,Egentransport,Diesel,2010,Traktorer,221041
0 Hele landet,Egentransport,Diesel,2010,Motorredskaper,5107
0 Hele landet,Egentransport,Diesel,2011,Personbiler,890773
0 Hele landet,Egentransport,Diesel,2011,Ambulanser,224
0 Hele landet,Egentransport,Diesel,2011,Busser,8956
0 Hele landet,Egentransport,Diesel,2011,Varebiler,337373
0 Hele landet,Egentransport,Diesel,2011,Kombinerte biler,35969
0 Hele landet,Egentransport,Diesel,2011,Lastebiler,51818
0 Hele landet,Egentransport,Diesel,2011,Mopeder,1822
0 Hele landet,Egentransport,Diesel,2011,Lette motorsykler,1
0 Hele landet,Egentransport,Diesel,2011,Tunge motorsykler,28
0 Hele landet,Egentransport,Diesel,2011,Beltemotorsykler,1
0 Hele landet,Egentransport,Diesel,2011,Traktorer,222008
